Unnamed: 0,Unnamed: 0.1,id,type,date,betterDate,title,abstract
191,224,16.1025,Mail,2018-12-21 00:00:00,2018-12-21 09:32:54,Re  stukje voor op site gemeente ,"




16.1025 
      

Date : 21-12-2018 09:32:54 

| 

To : ""B ss en.nl, ""Marco Out"" M.Out@assen.nl 

Subject : Re: stukje voor op site gemeente 

Heren, 

Bedankt. Dan gaat hij nu richting de webmaster. 
Groet, 

mn 

Outlook voor iOS downloaden 

Van: 

Verzonden: vrijdag, december 21, 2018 9:20 AM 

Aan: Marco Out —_‚_n 

Onderwerp: RE: stukje voor op site gemeente 

Dag Marco (en collega’s), 

Hoe korter de tekst, hoe kleiner de kans dat we iemand voor het hoofd stoten. 

Eens met Marco. En wat mij betreft zo doen. 

Groet, 

Van: Marco Out 

Verzonden: vrijdag 21 december 2018 9:14 

Aan 

CC: BN sen nl>; EN  =ssern-nl= 

Onderwerp: Re: stukje voor op site gemeente 

Hallo Mm 

Ik 9 Jip en Janneke. 
Gelet op alle gevoeligheden (vooral ook binnen de gemeenteraad) kunnen we het echter wellicht beter nog korter/neutraler houden: 

Beroep tegen gas winningsbesluit 

De gemeente Assen gaat samen met de Noord Drentse gemeenten in beroep tegen het besluit van de minister van Economische Zaken en Klimaat om toestemming te geven voor het 
blijven winnen van aardgas onder Assen en omgeving, De gemeenteraad van Assen heeft hier 20 decenber mee ingestemd. 

Het beroepschrift van de gemeenten is te vinden op: Hier linkje naar beroepschrift 

Alles stukken rond het besluit zijn te vinden op: https://www.nlog.nl/ter-inzage-legging- winninesplan- westerveld 

OREN wat vind jij? 

Groet, 

Marco 

Verstuurd vanaf mijn iPad 

Op 21 dec. 2018 om 09:01 heeft MM assen. het volgende geschreven: 

Beste Marco, 

Bijgevoegd het stukje voor op de site. Ik heb het heel Jip en Janneke geschreven en rekening gehouden met meelezers bij de NAM. Is het accoord? 

Groet, 

mn 

Disclainer: 
Aan de informatie in deze e-mail en ieder aangehecht databestand kunnen geen rechten worden ontleend, De e-mail is vertrouwelijk en is uitsluitend bestemd voor de 
geadresseerde. De gemeente Assen aanvaardt geen aansprakelijkheid voor schade als gevolg van onjuistheden, gedateerde informatie of van een onjuiste en onvolledige 
verzending en ontvangst van informatie, 

<Documentl.docx=


"
2469,2502,26.2,Correspondentie,2006-05-24 00:00:00,,UB 2006.03796 inzake bijdrage Cultureel Kwartier_,"




26.2 
      

9401 JW ASSEN, 24 mei 2006 

Noordersingel 33 DEP 
tel. 0592 - 366911 

PAR. 
ze rde 

BURGEMEESTER 
ARCHIEF VAN ASSEN 









  Briefnr. : 22006-03796 — 
Onderwerp : bijdrage Cultureel Kwartier ANA. dl. Ly Js 

Nederlandse Aardolie Maatschappij 

t.a.v. de directeur, de heer ir. P.R.R. Venhuizen 

Schepersmaat 2 

9405 TA ASSEN 

Geachte heer Venhuizen, 

Namens het college van burgemeester en wethouders laat ik u weten bijzonder ingenomen 
te zijn met de twee miljoen euro die de Nederlandse Aardolie Maatschappij op haar 60°°° 
verjaardag in 2007 cadeau wil doen voor de ontwikkeling van het Cultureel Kwartier. Een 
opsteker voor Assen. De bijdrage van de NAM helpt ons te realiseren wat wij van begin af 
aan voor ogen hebben gehad: een prominent gebouw op een prominente plek, met een 
adequate inrichting. 

Ik ben ervan overtuigd dat de uitwerking van de samenwerking tussen de NAM en Assen 
binnen het cultureel complex, door medewerkers van beide partijen, constructief zal ver- 
lopen. 

Hopelijk zien wij elkaar het laatste weekend van juni 2006 tijdens de Dutch TT. De ont- 

moetingsruimten van Shell en gemeente Assen bevinden zich per slot op steenworp af- 
stand van elkaar. U bent van harte welkom. 

